state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,lat,lng,population
California,6095,Solano County,69306,131639,205831,-62333,0.336713129,0.63954895,-0.302835822,38.27,-121.9329,441829
California,6097,Sonoma County,61825,199938,268252,-138113,0.230473585,0.745336475,-0.51486289,38.5283,-122.8874,499772
California,6099,Stanislaus County,104145,105841,214876,-1696,0.484674882,0.492567807,-0.007892924,37.5591,-120.9977,543194
California,6101,Sutter County,24375,17367,42640,7008,0.571646341,0.407293621,0.16435272,39.0346,-121.6948,96109
California,6103,Tehama County,19141,8911,28721,10230,0.666446154,0.310260785,0.35618537,40.1256,-122.2341,63912
California,6105,Trinity County,3188,2851,6258,337,0.509427932,0.455576862,0.053851071,40.6507,-123.1126,12700
California,6107,Tulare County,77579,66105,146832,11474,0.52835213,0.450208401,0.078143729,36.2201,-118.8005,461898
California,6109,Tuolumne County,17689,11978,30401,5711,0.58185586,0.394000197,0.187855663,38.0276,-119.9548,54045
California,6111,Ventura County,162207,251388,422698,-89181,0.383742057,0.594722473,-0.210980416,34.4565,-119.0836,847263
California,6113,Yolo County,27292,67598,97264,-40306,0.280597138,0.694995065,-0.414397927,38.6866,-121.9016,217352
California,6115,Yuba County,17676,11230,29787,6446,0.593413234,0.377010105,0.216403129,39.269,-121.3513,76360
Colorado,8001,Adams County,95657,134202,236735,-38545,0.40406784,0.566887026,-0.162819186,39.8736,-104.3378,504108
Colorado,8003,Alamosa County,3813,3759,7808,54,0.488345287,0.481429303,0.006915984,37.5729,-105.7883,16107
Colorado,8005,Arapahoe County,127323,213607,350183,-86284,0.363589894,0.609986778,-0.246396884,39.6498,-104.3392,644560
Colorado,8007,Archuleta County,5189,3738,9144,1451,0.567475941,0.408792651,0.15868329,37.1935,-107.0483,13253
Colorado,8009,Baca County,1867,317,2225,1550,0.839101124,0.14247191,0.696629213,37.3192,-102.5604,3561
Colorado,8011,Bent County,1503,732,2274,771,0.660949868,0.321899736,0.339050132,37.9551,-103.0717,5787
Colorado,8013,Boulder County,42501,159089,206111,-116588,0.206204424,0.771860793,-0.56565637,40.0925,-105.3577,322510
Colorado,8014,Broomfield County,16295,29077,46632,-12782,0.349438154,0.623541774,-0.27410362,39.9541,-105.0527,67886
Colorado,8015,Chaffee County,6222,7160,13717,-938,0.453597725,0.521980025,-0.068382299,38.747,-106.1941,19557
Colorado,8017,Cheyenne County,993,131,1136,862,0.874119718,0.115316901,0.758802817,38.828,-102.6035,2026
Colorado,8019,Clear Creek County,2754,3604,6548,-850,0.420586439,0.550397068,-0.129810629,39.6891,-105.6444,9495
Colorado,8021,Conejos County,2286,1959,4333,327,0.527579045,0.452111701,0.075467344,37.2007,-106.1916,8128
Colorado,8023,Costilla County,741,1311,2094,-570,0.353868195,0.626074499,-0.272206304,37.2781,-105.4282,3745
Colorado,8025,Crowley County,1271,437,1750,834,0.726285714,0.249714286,0.476571429,38.3266,-103.7845,5754
Colorado,8027,Custer County,2474,1112,3634,1362,0.680792515,0.305998899,0.374793616,38.1087,-105.3675,4776
Colorado,8029,Delta County,13081,5887,19370,7194,0.675322664,0.303923593,0.371399071,38.8614,-107.8629,30565
Colorado,8031,Denver County,71618,313293,393827,-241675,0.181851422,0.795509196,-0.613657774,39.7621,-104.8759,705576
Colorado,8033,Dolores County,1089,341,1449,748,0.751552795,0.235334714,0.516218081,37.7517,-108.5174,1857
Colorado,8035,Douglas County,121270,104653,231599,16617,0.523620568,0.451871554,0.071749014,39.3297,-104.9296,336041
Colorado,8037,Eagle County,9892,18588,29140,-8696,0.339464653,0.637886067,-0.298421414,39.6278,-106.6954,54681
Colorado,8039,Elbert County,14027,4490,18983,9537,0.738924301,0.236527419,0.502396881,39.2866,-104.136,25717
